Movie,Content
Harry Potter And The Deathly Hallows: Part 2,"After burying Dobby, Harry Potter asks the goblin Griphook to help him, along with Ron Weasley and Hermione Granger, break into Bellatrix Lestrange's vault at Gringotts bank, suspecting a Horcrux is there. Griphook agrees, in exchange for the Sword of Gryffindor. Wandmaker Ollivander tells Harry that two wands taken from Malfoy Manor belonged to Bellatrix and Draco Malfoy; he senses Draco's wand has changed its allegiance to Harry, who captured it from Draco. A horcrux, Helga Hufflepuff's cup, is found in Bellatrix's vault, but Griphook snatches the sword and abandons them. Trapped by security, they release the dragon guardian and flee Gringotts on its back. Harry has a vision of Lord Voldemort at Gringotts, furious at the theft. Harry also realises a Horcrux connected to Rowena Ravenclaw is hidden at Hogwarts. The trio apparate into Hogsmeade and are helped by Aberforth Dumbledore, who reveals a secret passageway into Hogwarts, which Neville Longbottom guides them through.

Severus Snape knows Harry has returned and threatens to punish any staff or students who aid Harry. Harry confronts Snape, who flees during a duel with Professor McGonagall. McGonagall rouses the Hogwarts community for battle. Luna Lovegood urges Harry to speak to Helena Ravenclaw's ghost. Helena reveals Voldemort performed ""dark magic"" on her mother's diadem, and tells Harry that the diadem is somewhere in the Room of Requirement. In the Chamber of Secrets, Ron and Hermione destroy the Horcrux cup with a Basilisk fang. Draco, Blaise Zabini and Gregory Goyle attack Harry in the Room of Requirement, but Ron and Hermione intervene. Goyle casts an uncontrollable Fiendfyre curse that kills him while Harry, Ron, and Hermione save Malfoy and Zabini and escape on brooms. Once outside, Harry stabs the diadem with the Basilisk fang and Ron kicks it into the inferno. As Voldemort's army attacks, Harry, seeing into Voldemort's mind, realises that Voldemort's snake Nagini is the final Horcrux. In the boathouse, the trio overhear Voldemort telling Snape that the Elder Wand cannot serve Voldemort until Snape dies; Nagini then viciously attacks Snape. As Snape dies, he gives Harry one of his memories. Meanwhile, Fred Weasley, Remus Lupin, and Nymphadora Tonks are killed in the chaos at Hogwarts.

Harry views Snape's memory in the Pensieve: Snape despised Harry's late father James, who bullied him, but he loved Harry's mother Lily. Following her death, Snape worked with Albus Dumbledore as a double agent amongst the Death Eaters, to protect Harry from Voldemort. Harry also learns that Dumbledore was dying and planned for Snape to kill him. It was Snape who conjured the Patronus doe that led Harry to Gryffindor's sword. Harry also learns that he became an accidental Horcrux when Voldemort's curse originally failed to kill him; Voldemort must now kill Harry to destroy the soul shard within him. Using the Resurrection Stone that had been stored in the Golden Snitch bequeathed to him, Harry summons the spirits of his parents, Sirius Black, and Remus. They comfort him before he surrenders to Voldemort in the Forbidden Forest. Voldemort casts the Killing Curse upon Harry, who awakens in limbo. Dumbledore's spirit meets him and explains that Harry is now free of Voldemort, and can choose to return to his body or move on. Harry chooses the former.

Voldemort displays Harry's apparent corpse and demands that Hogwarts surrender. As Neville draws the Sword of Gryffindor from the Sorting Hat in defiance, Harry reveals he is alive and the Malfoys and many other Death Eaters abandon Voldemort, demoralised after seeing that Harry still lived. While Harry confronts Voldemort in a duel throughout the castle, Ron's mother, Molly, kills Bellatrix in the Great Hall and Neville decapitates Nagini, destroying the last of the horcruxes. Harry finally destroys Voldemort after the Expelliarmus charm deflects the Killing Curse, rebounding it onto the Dark Lord. After the battle, Harry explains to Ron and Hermione that Voldemort never commanded the Elder Wand. It recognised him as its true master after he had disarmed Draco, who had earlier disarmed its previous owner, Dumbledore, atop the Astronomy Tower. Instead of claiming the Elder Wand, Harry destroys it.

Nineteen years later, Harry and his friends proudly watch their children leave for Hogwarts at King's Cross station."
Conan The Barbarian,"Orphaned boy Conan (Arnold Schwarzenegger) is enslaved after his village is destroyed by the forces of vicious necromancer Thulsa Doom (James Earl Jones), and is compelled to push ""The Wheel of Pain"" for many years. Once he reaches adulthood, Conan sets off across the prehistoric landscape of the Hyborian Age in search of the man who killed his family and stole his father's sword. With beautiful warrior Valeria (Sandahl Bergman) and archer Subotai (Gerry Lopez), he faces a supernatural evil."
Winnie The Pooh,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson."
Buck,"American cowboy Buck Brannaman has a unique way of communicating with horses, and it's exactly this unorthodox style of training that inspired the novel ""The Horse Whisperer."" In this documentary, director Cindy Meehl gets to know the real-life Buck as she reveals his fascinating story about how an abusive childhood helped teach him the compassion and insight needed to train horses, not with punishment but by treating them the way he would treat humans -- with respect."
Rango,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff. Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
Sucker Punch,"Locked away, a young woman named Babydoll (Emily Browning) retreats to a fantasy world where she is free to go wherever her mind takes her. Determined to fight for real freedom, she finds four women -- Rocket, Blondie, Amber and Sweet Pea -- to join together to escape the terrible fate that awaits them. With a virtual arsenal at their disposal, the allies battle everything from samurais to serpents, while trying to decide what price they will pay for survival."
Genova,"Joe is a widowed teacher bereft at the death of his wife Marianne in an accident caused by their youngest daughter Mary. Offered a teaching job in Italy, he takes Mary and her older sibling Kelly to Genova. Initially loving the new lifestyle, Joe soon finds himself torn between memories of Marianne and the possibility of a new romance while the guilt-wracked Mary finds dangerous solace with role models who resemble her mother."
Exit Through The Gift Shop,"The infamous, shadowy British graffiti street artist Banksy has literally left his mark on cities throughout the world. He comes in contact with Thierry Guetta, a Los Angeles-based Frenchman who videotapes various underground art escapades, and later is transformed into an art phenomenon dubbed ""Mr. Brainwash."" Rhys Ifans narrates an overlapping documentary where the line between what is real and what might be fake blurs, as modern art and celebrity are put under the microscope."
Casino Jack And The United States Of Money,"This documentary tracks the high life and eventual downfall of wealthy lobbyist and businessman Jack Abramoff, who was convicted of conspiracy and fraud, among other charges, in a corruption scandal during the George W. Bush administration. The film details Abramoff's decadent and lavish lifestyle and reveals the shady dealings that led to his getting arrested, which ultimately resulted in a prison sentence for him and tarnished reputations for others."
Never Let Me Go,"A medical breakthrough in 1952 has permitted the human lifespan to be extended beyond 100 years. In 1978, the young Kathy H, along with her friends Tommy and Ruth, spend their childhood at a boarding school named Hailsham. The students are encouraged to create artwork, and their best work gets into The Gallery run by a mysterious woman known only as Madame. One day, a new teacher, Miss Lucy, quietly informs the students of their fate: they are destined to be organ donors and will die, or ""complete"", in their early adulthood. Shortly afterward she is fired by the headmistress, Miss Emily, for sharing this revelation with the children. As time passes, Kathy falls in love with Tommy, but Ruth and Tommy begin a relationship and stay together throughout the rest of their time at Hailsham.

In 1985, Kathy, Ruth and Tommy, now teenagers, are rehoused in cottages on a farm. They are permitted to leave the grounds on day trips, but are resigned to their eventual fate. At the farm, they meet former pupils of schools similar to theirs, and it is revealed that they are all clones. They also hear rumours of the possibility of ""deferral""—a temporary reprieve from organ donation for donors who are in love and can prove it. Tommy becomes convinced that The Gallery at Hailsham was intended to look into their souls and that artwork sent to The Gallery will be able to confirm true love where it is present. The relationship between Tommy and Ruth becomes sexual, and Ruth confronts Kathy, telling her Tommy never thought of her as more than a friend. This causes Kathy and Ruth to end their friendship. The lonely Kathy leaves and becomes a ""carer""—a donor who is given a temporary reprieve from donation as a reward for supporting and comforting donors as they are made to give up their organs. Tommy and Ruth's relationship ends but Kathy has already begun her training.

In 1994, Kathy is still working as a carer, and has watched many donors gradually die as their organs are harvested. Kathy, who has not seen Ruth or Tommy since the farm, discovers Ruth, frail after two donations. They find Tommy, who is also weakened by his donations, and they take a drive to the seashore, where Ruth admits that she did not love Tommy, and only seduced him because she was afraid to be alone. She is consumed with guilt and has been searching for a way to help Tommy and Kathy. She believes that the rumours of ""deferral"" are true, and has found the address of the gallery owner, Madame, who she thinks may grant deferrals to couples in love. Ruth dies on the operating table shortly afterward.

Kathy and Tommy finally begin a relationship. Tommy explains to Kathy that he has been creating art in the hope that it will aid deferral. He and Kathy drive to visit Madame, who lives with the headmistress of Hailsham. The two teachers tell them that there is no such thing as deferral, and that Tommy's artworks will not help him. They explain that the purpose of The Gallery was not to look into their souls but to investigate whether the ""all but human"" donors even have souls at all; Hailsham was the last place to consider the ethical implications of the donor scheme. As they take in the news on their return journey, Tommy explodes in rage and frustration, and they cling to each other in grief. Tommy completes his final donation and dies on the operating table, leaving Kathy alone, waiting for her donations to begin in a month. Contemplating the ruins of her childhood, she asks in voice-over whether her fate is really any different from the people who will receive her organs; after all, ""we all complete""."
